yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
123.95,-2.86,0.00,118.11,-0.18,-2.64,0.00,15:44:28.984,0/0/0,0,0,, , , ,
119.15,-0.77,-3.88,-2.37,-20.68,231.42,32.01,15:44:28.984,8/28/14,0,0,, , , ,
120.63,-3.12,-3.98,11.83,-19.69,224.26,32.01,15:44:29.171,8/28/14,0,0,, , , ,
121.67,-2.72,-2.56,-4.26,-10.83,224.26,32.59,15:44:29.390,8/28/14,0,0,, , , ,
122.81,-3.95,-2.54,12.78,-6.89,251.90,32.01,15:44:29.390,8/28/14,0,0,, , , ,
123.64,-2.86,-4.86,0.47,-26.58,227.33,32.01,15:44:29.578,8/28/14,0,0,, , , ,
124.38,-2.63,-3.88,8.04,-13.78,239.62,34.33,15:44:29.578,8/28/14,0,0,, , , ,
124.73,-1.54,-2.36,-4.26,-5.91,234.50,-55.00,15:44:29.796,8/28/14,0,0,, , , ,
125.41,-3.66,-3.34,9.94,-12.80,232.45,-55.00,15:44:29.984,8/28/14,0,0,, , , ,
125.92,-3.21,-4.17,-0.47,-19.69,231.42,-55.00,15:44:29.984,8/28/14,0,0,, , , ,
126.48,-3.65,-3.45,3.31,-7.88,260.10,-55.00,15:44:30.187,8/28/14,0,0,, , , ,
126.77,-4.03,-4.14,8.99,-22.65,250.88,-55.00,15:44:30.187,8/28/14,0,0,, , , ,
126.70,-3.18,-3.85,6.15,-17.72,250.88,32.59,15:44:30.375,8/28/14,0,0,, , , ,
126.33,-2.07,-2.30,3.31,-6.89,247.81,32.59,15:44:30.593,8/28/14,0,0,, , , ,
126.08,-2.12,-3.42,7.10,-19.69,250.88,32.59,15:44:30.593,8/28/14,0,0,, , , ,
125.87,-1.75,-3.64,0.47,-18.71,238.59,33.75,15:44:30.781,8/28/14,0,0,, , , ,
125.69,-1.28,-2.42,-0.47,-12.80,262.14,32.59,15:44:30.984,8/28/14,0,0,, , , ,
125.78,-2.03,-2.47,2.37,-15.75,276.48,32.59,15:44:30.984,8/28/14,0,0,, , , ,
126.31,-3.20,-3.99,4.26,-14.77,227.33,32.59,15:44:31.171,8/28/14,0,0,, , , ,
126.88,-3.52,-4.08,2.37,-11.82,230.40,34.33,15:44:31.171,8/28/14,0,0,, , , ,
127.37,-3.54,-4.05,-0.47,-6.89,212.99,32.59,15:44:31.390,8/28/14,0,0,, , , ,
127.92,-4.38,-5.37,9.94,-19.69,231.42,32.59,15:44:31.578,8/28/14,0,0,, , , ,
127.96,-2.67,-5.65,-0.47,-19.69,250.88,32.59,15:44:31.578,8/28/14,0,0,, , , ,
128.00,-2.26,-4.90,8.99,-12.80,254.98,32.59,15:44:31.796,8/28/14,0,0,, , , ,
127.81,-1.12,-5.28,-2.37,-20.68,235.52,34.33,15:44:31.984,8/28/14,0,0,, , , ,
128.05,-1.82,-5.21,5.21,-12.80,241.66,32.01,15:44:31.984,8/28/14,0,0,, , , ,
128.32,-2.10,-5.82,-1.42,-19.69,230.40,32.01,15:44:32.187,8/28/14,0,0,, , , ,
129.07,-3.66,-6.22,10.88,-21.66,251.90,32.01,15:44:32.187,8/28/14,0,0,, , , ,
129.66,-3.48,-5.42,-0.47,-20.68,267.26,34.33,15:44:32.375,8/28/14,0,0,, , , ,
